Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
BaddhaKonasana,BK_47.jpg,184.892977316449,179.85389973141224,6.210529395863858,5.596188120960717,342.4421686555536,18.362589834975097,290.9144079439486,66.06935903642817,49.0707378881806,71.75887450759828,286.5286271991165,319.4324559023108,33.77301466964323,323.9149269571479
BaddhaKonasana,BK_48.jpg,203.38522105721376,157.76575264364973,11.738571206722334,10.247108557802958,345.2184068255697,15.295411087071898,296.73209379275886,67.27332212034987,55.96767970244186,72.29694169202456,277.90865860601,306.13744346303605,356.8201698801358,11.142889858339313
BaddhaKonasana,BK_5.jpg,193.47408285373098,169.9266005612693,4.293650060891292,3.7198217603040544,347.9756342571527,12.951509003425073,307.78916097805336,51.09586154459581,44.09939025759336,60.74113425786337,290.5268660166979,312.123382341264,340.53914494502504,12.565547543495965
BaddhaKonasana,BK_50.jpg,209.0791764818735,160.48315516723247,20.705244194978416,24.93190621727409,309.1198374741174,43.84266693187048,310.731475118551,52.328063445523334,57.89177896687377,88.27197085309508,282.2665916027415,12.2356872470836,353.7606648589355,1.1344216309770059
BaddhaKonasana,BK_51.png,182.26195223526074,176.85298204745587,0.6668460805995999,0.5219987329635645,347.4060857905368,13.460781317449499,289.71628103209014,64.15561244543967,38.88527884584505,56.864472618975114,297.1155385202077,309.1623125926232,343.3007557660064,21.2347041342539
BaddhaKonasana,BK_52.jpeg,176.64644524456526,172.626764294362,24.727700948328742,340.1543381113362,335.14841414028785,35.09795469921737,345.5486396573454,32.802969724268465,31.279280332115277,82.0809906778781,240.48784593729218,282.3742038696361,37.05703616224044,20.49179568784316
BaddhaKonasana,BK_53.jpg,194.4702941000659,163.68454085532503,8.174391790977332,7.93888014676587,344.2225036720054,15.268710909772857,301.0496571866226,57.29079163854473,49.53068428358965,80.36104647050323,283.32076997897144,303.8175753682124,6.812299252706014,0.7098228981901841
BaddhaKonasana,BK_54.png,186.2363058105629,170.65760598838983,8.615648184164119,5.34396583655709,350.14247498793503,8.939450139442087,282.81105064542237,83.03346175737362,46.28655201799582,43.25675351569421,320.10688120551725,315.9581676077021,4.939215542126193,12.55336655013058
BaddhaKonasana,BK_55.png,187.4610581233648,176.1621952935883,1.1067905198549826,0.828758723071537,345.02680398717274,16.540151912406436,303.5098927126116,50.11169343738688,38.24786896904854,70.88932022105264,291.9483932896701,305.9884004578142,334.219006342258,21.614778942786245
BaddhaKonasana,BK_56.jpg,184.71298185315078,174.37458266072383,0.06568461855348906,2.7488921130843442,347.45767973310177,13.987834329036783,292.43392266686885,59.1704527070164,40.73253116948673,58.343512647624635,298.1633299671616,307.9188722905941,338.4561943807767,12.590950612672534
BaddhaKonasana,BK_57.jpg,191.55311295303622,162.8406443589249,7.9905541264314905,6.881094258393267,341.1205949973397,18.0897245475069,316.4871390452531,46.961512877170854,50.89773325637632,88.08113449813621,264.51357885772876,307.27508757352723,20.998719034387015,4.000635528975285
BaddhaKonasana,BK_58.jpg,185.8192507357525,176.51977928847498,3.8423752299734204,359.66392210615754,348.05128964631416,12.483208366810649,297.689301782717,64.39024060267852,40.940885005012696,55.09437164860561,299.721207228335,307.8080281477612,40.426078740099136,72.84162606995781
BaddhaKonasana,BK_59.jpg,192.79689236227205,171.74173488021725,4.657034213980282,3.9870866491751262,348.47253952871154,14.399779098690171,297.2161115573075,53.42696902148066,45.857776619277644,77.19057172094368,279.52012693164136,306.0273733851036,346.04549082686316,5.710593137499633
