Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label
Triangle,triangle57.jpg,171.86989764584402,190.9141130058108,108.434948822922,92.95311685348724,187.1555415348859,170.1496168000186,302.23979107081686,66.00836166111014,171.65025444106894,32.9052429229879,123.97017176973416,330.4649924146253,1.6891982846019231,158.59585975807315,1
Triangle,triangle58.jpg,178.2438399390692,182.03733069681988,61.07357416474639,126.09173456816951,173.2021174997137,180.3877827726656,283.4526932417048,86.73161387721582,181.94619511703075,74.29136217098426,163.20281975833774,332.97613356925274,1.8476102659945923,188.7108065750396,1
Triangle,triangle59.jpg,142.54177774462602,190.0339701736723,74.99683096042924,107.6521860350184,175.0114937671114,176.27935704948476,273.9113320541479,97.98011374516852,170.55903821580634,48.89337978916378,156.96146354407523,322.6185464875689,358.60281897270363,186.21394808216056,1
Triangle,triangle6.jpg,155.04302365510463,184.58854219215465,83.96577305612391,110.30785091470352,188.9726266148964,175.97173633351488,274.61120611272406,95.19442890773482,173.5284391896363,39.02889771280276,153.29508959009684,327.520002456491,0.6585431775635989,181.54591247857425,1
Triangle,triangle60.jpg,166.50426671920417,189.26452398513297,88.66778014613037,119.4529839267056,173.07278187399083,185.689265842928,290.399752205412,79.33788748433227,184.64797069138703,55.30484646876603,141.9747467584197,338.50613780535906,3.3142046974144663,170.99637037675916,1
Triangle,triangle7.jpg,163.3007557660064,187.366203893226,81.02737338510362,112.91130822503442,186.41663703679012,163.88658176691072,276.1555010366017,92.41521545420946,181.0496605778065,50.15855178060604,160.51387042753424,323.4240402386016,2.803641137689818,183.32096245772988,1
Triangle,triangle8.jpg,184.56900274506077,194.51426629366844,80.57300920343424,106.38221538143944,173.6598082540901,173.94580810588516,286.4995539629016,84.48258249509371,174.09786054703545,68.19859051364818,159.22631788380033,335.045249425421,6.717874775048766,187.822339264822,1
Triangle,triangle9.jpg,171.86989764584402,193.3200835224561,62.57985142665528,120.81350570643926,181.15151889396375,177.83892051177364,295.41201150991765,74.03437253935547,177.8001285207388,71.88468958778019,153.5221569435727,323.59591143692097,3.0664855011258934,176.59880583267542,1
UtkataKonasana,UK_10.jpeg,303.4078245897089,48.80550018911147,32.79088024150377,36.61877407317544,240.97914296941585,119.38060786128923,273.3664606634298,85.62162671637,95.76872769598036,105.84207049798444,254.03957569823805,308.77113411045843,154.76373635309642,210.35009589418704,1
UtkataKonasana,UK_11.jpg,89.89685739402093,267.74841238998374,84.21760767763595,86.36575154705271,258.931255070304,101.56486711339814,274.8630075331172,85.67786073953728,163.71936251466394,93.17983011986423,264.8669697230571,311.9495055058586,112.705733633977,244.93448693325436,1
UtkataKonasana,UK_12.jpeg,328.089292021153,37.11509919959533,16.814594210931556,15.292825693015846,255.51023740611555,116.22527292441715,261.7643806757905,96.95364575041096,61.37895874473504,92.8209885935155,260.83621911400184,303.69006752597977,144.83916659584497,210.96375653207352,1
UtkataKonasana,UK_13.jpg,89.52518396775743,272.20384345147465,90.48789498045836,94.80502305771832,251.2627846603284,107.52543926607451,277.0497180290762,84.79032324293684,174.68682107159435,103.26588667693204,253.57310507468537,312.10802415217665,116.24370410497386,237.4463225827695,1
UtkataKonasana,UK_14.jpg,126.55445860331469,230.08496060472183,91.71713221372372,92.31396486439088,245.6795571901662,115.69837907934908,279.03087563152155,80.3382286016182,170.3857265574885,107.31373933475216,254.7764840402973,312.524941330035,109.902767588772,254.62788501132547,1
