Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label,left_elbow_angle_corrected,right_elbow_angle_corrected,left_shoulder_angle_corrected,right_shoulder_angle_corrected,left_knee_angle_corrected,right_knee_angle_corrected,angle_for_ardhaChandrasana1_corrected,angle_for_ardhaChandrasana2_corrected,hand_angle_corrected,left_hip_angle_corrected,right_hip_angle_corrected,neck_angle_uk_corrected,left_wrist_angle_bk_corrected,right_wrist_angle_bk_corrected
Downward_dog,downward_dog43.jpg,146.8541478051248,170.0,160.0,160.0,150.1938600035454,170.0,327.84698965963264,0.6650327009937584,9.682976250179546,98.67793873923864,101.99832857913016,70.0,66.12527795159528,123.0997506091736,0,173.10687100315508,176.6731042882321,179.82787621057608,185.74741908227074,189.03739449070795,180.8832538697072,354.28208882600063,75.6893432896752,96.0761763215,81.59635106423592,117.57304749854158,144.0223027230949,127.97504488426651,95.86036560752918
Downward_dog,downward_dog44.jpg,170.0,170.0,160.0,160.0,170.0,170.0,363.7935387463552,-22.40627935144808,325.0400368767112,84.71778837210805,53.22042751955728,259.4752081887099,73.30207944711151,39.60176909721021,0,171.15714014323672,169.3015875274236,165.89667447230292,193.65309968309504,175.384452868368,173.24366472589026,355.5673553501525,0.18293933391517658,198.02857406248222,69.9897592407349,104.84479924049727,182.68396850351084,72.65964048754743,84.43784168984503
Downward_dog,downward_dog45.jpg,167.26135973880352,161.22641093178322,134.38721196034723,160.0,151.0153311601401,170.0,341.575085005505,-4.201200589643527,339.8058033622109,72.64269692648011,99.31303713626173,234.17652299847404,50.08649636956337,106.4384803191656,0,166.78548795101025,168.59474940208457,93.76117129768409,175.96062715521984,173.5903009194377,182.09536714189207,352.0470023626115,65.6356628917518,218.13668983198315,79.16267511209459,110.64813980627228,174.53390320906743,83.10244584211992,76.33056801920249
Downward_dog,downward_dog46.jpg,170.0,154.4746160231909,160.0,159.7516549371893,166.82756823549178,170.0,378.6612133237449,32.9964269364493,381.02883049180286,102.00453330269757,62.67523100984565,300.0,94.1479941492894,98.56749023912114,0,163.73339344740643,170.8471854755804,127.34425987833941,191.58524749711685,177.36995464959836,173.24256280040555,270.74809657336465,0.20078637431003876,167.87204866736968,84.83502997059456,136.72361309052457,159.91522670609766,99.77390986467978,103.59881152251438
Downward_dog,downward_dog47.jpg,141.807183537174,159.38028912285458,160.0,160.0,170.0,170.0,19.34523430017593,342.4004209045772,15.877610304815764,86.4650233602596,98.11829085693655,70.0,97.20671348610009,95.34234132375812,0,167.5177680469865,170.13479629233137,177.2049323177774,189.77924890042684,209.7909189468651,180.37338673965067,162.5336168961883,208.89730539020945,97.61172811050169,99.16167601327314,99.54265819135777,176.00985833173362,126.33131892091914,99.89781941620994
Downward_dog,downward_dog48.jpg,166.610991405658,170.0,160.0,160.0,167.63713968933524,168.04098441318038,359.89499363458776,4.184285735047533,358.97980898918456,75.92630880134561,84.28083708669669,193.8635273520769,73.13462283579791,80.73892685352257,0,170.97107671294862,167.65336326913942,166.1516773441927,191.66023070867803,173.62430250176584,173.63755626620969,351.60708105180595,0.20097884319472,195.7693263780494,80.95723540857442,104.56481096157918,163.0451414895093,81.3563707781797,81.395164315229
Downward_dog,downward_dog49.jpg,170.0,158.85119218393848,160.0,158.4245875951297,112.98093429678836,170.0,324.3186591284776,18.30400778625173,83.68856523071095,30.0,82.75678913481822,99.40363313050182,62.58153468248136,40.0935189062857,0,171.5804786506912,169.57066387498324,74.77212661608077,181.77276111042855,180.88633562282868,180.38026298089972,306.27627407305533,78.30558745928127,72.37775824221526,77.12436373091101,104.34494197835292,140.03485965317927,234.28832021662996,89.50545711341545
Downward_dog,downward_dog5.jpg,170.0,170.0,160.0,130.2431008528681,170.0,170.0,429.3443200867731,-32.22124530800637,55.57911256671656,136.32213034881318,35.5400657731466,300.0,131.54498300135444,23.400183747268382,0,167.40297420343805,168.30158871934472,88.62230361938259,181.83440487984126,184.9054060959344,169.93664244433603,348.089737181912,14.400706385507789,170.6166079558033,101.24283249985857,131.99290138126779,159.88174911799427,109.22169711962741,140.63284386955365
Downward_dog,downward_dog50.jpg,170.0,140.03156576762726,160.0,160.0,161.64805192485449,167.0128987479851,381.474075125264,22.650115667473816,45.68694232308829,87.38022699664826,65.77248837888122,300.0,84.94453643613502,91.81910475448262,0,176.29660070912564,167.3136853062634,151.1047436396451,191.40595464817176,172.9031037649869,187.0193488872843,275.34780710648175,0.40643079403380544,155.03189333677383,79.13000978232031,125.34209831424332,150.87972721572586,86.36526510533098,94.4802675243839
Downward_dog,downward_dog51.jpg,170.0,170.0,160.0,160.0,137.40132079095915,170.0,-37.31763448021429,303.4788558427891,-37.91278366763928,153.67381916971664,85.33836541173903,300.0,97.17540971224928,37.21996416700763,0,177.5878771913869,170.22004112419782,195.33770470356072,186.6997090287441,178.41068424857994,179.69076340913068,163.8212892422612,223.76649588108694,166.96842835750968,91.76371084025533,101.80920215272572,131.66288876825053,169.00549580029016,103.62419268355485
